---------------------------------------


Marginal Probabilities
---------------------------------------
_ : 0.16886
a : 0.06137
c : 0.02802
b : 0.01209
e : 0.10498
d : 0.02649
g : 0.01583
f : 0.01928
i : 0.06334
h : 0.03892
k : 0.00347
j : 0.00061
m : 0.02201
l : 0.03705
o : 0.0696
n : 0.05686
q : 0.00089
p : 0.0189
s : 0.05635
r : 0.04802
u : 0.02306
t : 0.08034
w : 0.01292
v : 0.01113
y : 0.01721
x : 0.00162
z : 0.00073


Emission Probabilities
---------------------------------------
P( g | r ) = 0.00013
P( g | s ) = 0.00011
P( g | t ) = 0.04954
P( g | u ) = 0.00027
P( g | v ) = 0.05992
P( g | w ) = 0.00047
P( g | x ) = 0.00348
P( g | y ) = 0.05075
P( g | z ) = 0.00694
P( h | _ ) = 4e-05
P( h | a ) = 0.0001
P( h | b ) = 0.04357
P( h | c ) = 0.00022
P( h | d ) = 0.00023
P( h | e ) = 6e-05
P( h | f ) = 0.00032
P( h | g ) = 0.03067
P( h | h ) = 0.79104
P( h | i ) = 0.0001
P( h | j ) = 0.02381
P( h | k ) = 0.00171
P( h | l ) = 0.00017
P( h | m ) = 0.00028
P( h | n ) = 0.0525
P( h | o ) = 9e-05
P( h | p ) = 0.00033
P( h | q ) = 0.00588
P( h | r ) = 0.00013
P( h | s ) = 0.00011
P( h | t ) = 8e-05
P( h | u ) = 0.05053
P( h | v ) = 0.00055
P( h | w ) = 0.00047
P( h | x ) = 0.00348
P( h | y ) = 0.05075
P( h | z ) = 0.00694
P( i | _ ) = 4e-05
P( i | a ) = 0.0001
P( i | b ) = 0.00051
P( i | c ) = 0.00022
P( i | d ) = 0.00023
P( i | e ) = 6e-05
P( i | f ) = 0.00032
P( i | g ) = 0.00039
P( i | h ) = 0.00016
P( i | i ) = 0.79959
P( i | j ) = 0.00794
P( i | k ) = 0.03754
P( i | l ) = 0.00017
P( i | m ) = 0.00028
P( i | n ) = 0.00011
P( i | o ) = 0.04834
P( i | p ) = 0.00033
P( i | q ) = 0.00588
P( i | r ) = 0.00013
P( i | s ) = 0.00011
P( i | t ) = 8e-05
P( i | u ) = 0.05187
P( i | v ) = 0.00055
P( i | w ) = 0.00047
P( i | x ) = 0.00348
P( i | y ) = 0.00036
P( i | z ) = 0.00694
P( j | _ ) = 4e-05
P( j | a ) = 0.0001
P( j | b ) = 0.00051
P( j | c ) = 0.00022
P( j | d ) = 0.00023
P( j | e ) = 6e-05
P( j | f ) = 0.00032
P( j | g ) = 0.00039
P( j | h ) = 0.03893
P( j | i ) = 0.04802
P( j | j ) = 0.62698
P( j | k ) = 0.04096
P( j | l ) = 0.00017
P( j | m ) = 0.06527
P( j | n ) = 0.05043
P( j | o ) = 9e-05
P( j | p ) = 0.00033
P( j | q ) = 0.00588
P( j | r ) = 0.00013
P( j | s ) = 0.00011
P( j | t ) = 8e-05
P( j | u ) = 0.04412
P( j | v ) = 0.00055
P( j | w ) = 0.00047
P( j | x ) = 0.00348
P( j | y ) = 0.00036
P( j | z ) = 0.00694
P( k | _ ) = 4e-05
P( k | a ) = 0.0001
P( k | b ) = 0.00051
P( k | c ) = 0.00022
P( k | d ) = 0.00023
P( k | e ) = 6e-05
P( k | f ) = 0.00032
P( k | g ) = 0.00039
P( k | h ) = 0.00016
P( k | i ) = 0.05135
P( k | j ) = 0.03968
P( k | k ) = 0.80205
P( k | l ) = 0.06593
P( k | m ) = 0.06639
P( k | n ) = 0.00011
P( k | o ) = 0.05244
P( k | p ) = 0.00033
P( k | q ) = 0.00588
P( k | r ) = 0.00013
P( k | s ) = 0.00011
P( k | t ) = 8e-05
